omp_num_threads,graph,order,size,time,iterations,error,technique
"16","germany_osm","11548845","24738362","114.17","0","2.0173e-7","pagerankNvgraph"
"28","germany_osm","11548845","24738362","1100.716","65","0","pagerankOmp"
"28","germany_osm","11548845","24738362","113.977","0","2.0173e-7","pagerankNvgraph"
"32","germany_osm","11548845","24738362","984.111","65","0","pagerankOmp"
"32","germany_osm","11548845","24738362","113.68","0","2.0173e-7","pagerankNvgraph"
"48","germany_osm","11548845","24738362","917.296","65","0","pagerankOmp"
"48","germany_osm","11548845","24738362","114.52","0","2.0173e-7","pagerankNvgraph"
"2","asia_osm","11950757","25423206","5422.085","63","0","pagerankOmp"
"2","asia_osm","11950757","25423206","107.809","0","6.7846e-7","pagerankNvgraph"
"4","asia_osm","11950757","25423206","2780.383","63","0","pagerankOmp"
"4","asia_osm","11950757","25423206","107.975","0","6.7846e-7","pagerankNvgraph"
"8","asia_osm","11950757","25423206","1482.889","63","0","pagerankOmp"
"8","asia_osm","11950757","25423206","107.598","0","6.7846e-7","pagerankNvgraph"
"16","asia_osm","11950757","25423206","920.701","63","0","pagerankOmp"
"16","asia_osm","11950757","25423206","107.917","0","6.7846e-7","pagerankNvgraph"
"28","asia_osm","11950757","25423206","896.171","63","0","pagerankOmp"
"28","asia_osm","11950757","25423206","108.267","0","6.7846e-7","pagerankNvgraph"
"32","asia_osm","11950757","25423206","838.31","63","0","pagerankOmp"
"32","asia_osm","11950757","25423206","107.92","0","6.7846e-7","pagerankNvgraph"
"48","asia_osm","11950757","25423206","761.304","63","0","pagerankOmp"
"48","asia_osm","11950757","25423206","107.759","0","6.7846e-7","pagerankNvgraph"
